0,PM25,41.0,44.0,33.0,37.0,36.0,45.0,42.0,49.0,45.0,44.0
0,PM10,56.0,64.0,56.0,57.0,52.0,51.0,66.0,85.0,85.0,63.0
1,PM25,23.0,30.0,30.0,22.0,18.0,13.0,13.0,11.0,22.0,25.0
1,PM10,34.0,31.0,16.0,18.0,8.0,16.0,24.0,37.0,58.0,51.0
2,PM25,14.0,15.0,8.0,4.0,9.0,16.0,22.0,23.0,29.0,32.0
2,PM10,19.0,12.0,10.0,12.0,15.0,36.0,43.0,43.0,33.0,41.0
2,PM25,4.0,9.0,16.0,22.0,23.0,29.0,32.0,36.0,34.0,45.0
2,PM10,12.0,15.0,36.0,43.0,43.0,33.0,41.0,56.0,68.0,73.0
3,PM25,50.0,49.0,45.0,63.0,63.0,62.0,55.0,56.0,67.0,78.0
3,PM10,53.0,73.0,85.0,105.0,107.0,118.0,115.0,124.0,128.0,134.0
4,PM25,70.0,65.0,66.0,57.0,56.0,64.0,67.0,72.0,64.0,73.0
4,PM10,105.0,98.0,83.0,65.0,68.0,70.0,82.0,87.0,101.0,107.0
5,PM25,42.0,35.0,35.0,40.0,45.0,48.0,57.0,57.0,59.0,62.0
5,PM10,52.0,38.0,37.0,45.0,70.0,81.0,97.0,97.0,93.0,110.0
6,PM25,56.0,66.0,78.0,62.0,61.0,47.0,54.0,57.0,59.0,61.0
6,PM10,63.0,85.0,91.0,99.0,100.0,103.0,107.0,108.0,106.0,93.0
6,PM25,33.0,25.0,36.0,28.0,33.0,29.0,42.0,56.0,66.0,78.0
6,PM10,45.0,43.0,44.0,34.0,40.0,39.0,54.0,63.0,85.0,91.0
7,PM25,42.0,41.0,39.0,36.0,35.0,36.0,36.0,32.0,33.0,33.0
7,PM10,68.0,60.0,55.0,50.0,61.0,73.0,72.0,62.0,54.0,54.0
8,PM25,17.0,9.0,7.0,7.0,20.0,20.0,20.0,18.0,18.0,22.0
8,PM10,20.0,22.0,20.0,0.0,0.0,18.0,18.0,19.0,19.0,23.0
8,PM25,16.0,23.0,16.0,17.0,9.0,7.0,7.0,20.0,20.0,20.0
8,PM10,27.0,21.0,31.0,20.0,22.0,20.0,0.0,0.0,18.0,18.0
9,PM25,0.0,0.0,1.0,1.0,7.0,7.0,8.0,4.0,8.0,12.0
9,PM10,3.0,4.0,4.0,5.0,1.0,6.0,10.0,25.0,39.0,42.0
10,PM25,46.0,36.0,36.0,29.0,32.0,33.0,30.0,40.0,36.0,46.0
10,PM10,65.0,72.0,66.0,70.0,66.0,69.0,69.0,58.0,44.0,48.0
11,PM25,20.0,19.0,24.0,25.0,14.0,16.0,22.0,23.0,18.0,6.0
11,PM10,36.0,35.0,32.0,41.0,32.0,34.0,30.0,34.0,31.0,18.0
11,PM25,48.0,56.0,62.0,52.0,40.0,32.0,37.0,31.0,34.0,32.0
11,PM10,87.0,102.0,108.0,102.0,78.0,56.0,45.0,38.0,31.0,40.0
