SetId,LogDim
0,3.697649546098437
1,3.4325637564934928
2,3.7751381756382973
3,2.9826616258131304
4,3.6836919446343956
5,2.8952986672203282
6,3.6619531579171647
7,2.028097516873462
8,2.7984846334499913
9,3.774046958684187
10,3.714571273938918
11,3.693197200470658
12,3.749529355675467
13,2.3496952931986614
14,3.841216325842311
15,1.1040289892484647
16,3.757464334228094
17,3.265038927705249
18,3.6678567208024186
19,3.824160631524464
20,1.0759378391138188
21,3.5518962470933095
22,3.5612397690920474
23,2.9906060859682397
24,3.4169147605014167
25,3.653837034461125
26,3.5937782408767043
27,3.529689277437907
28,3.4414287590159076
29,3.1706377620472823
30,3.1708726750540213
31,3.777669235859942
32,3.0554403135392723
33,3.601247346481434
34,3.7634290506994734
35,3.633124780149083
36,1.3408150848990033
37,2.695777179993486
38,3.7389412985428496
39,3.4809219423769227
40,3.83804661783771
41,3.823619872048262
42,3.6072470428394845
43,3.6463924446365232
44,3.4715774619779154
45,2.7929060186924546
46,2.8488360916460813
47,3.5574038564682313
48,3.598534006575084
49,3.6402989417128087
50,0.7050057544536982
51,1.3345317506528076
52,1.992987577694044
53,1.9765394573657824
54,3.487278717715384
55,3.6866831809614866
56,2.7062870152022844
57,3.831335315726526
58,3.753451691066715
59,1.497175268899254
60,3.6372111642651297
61,3.7138194620609233
62,3.72088193595387
63,3.563696299922682
64,3.5728367620416863
65,2.8561943339087144
66,3.8259239999743775
67,3.674433618640064
68,3.774407169263884
69,3.181734071716414
70,3.501859693626263
71,1.303014077439214
72,1.0988763807202437
73,1.632395444153808
74,2.1992381045400755
75,3.5952146469267494
76,3.868159296000135
77,3.8266407504029956
78,3.625910457098783
79,3.636101488306321
80,3.622409117945806
81,3.556570699752274
82,3.6546124022782256
83,3.5992824715683898
84,3.7673879355648268
85,2.8473471676426327
86,1.7952916656714295
87,3.7141530803338134
88,2.472885218762642
89,1.9907244990562263
90,2.0739894291066028
91,2.378744196753124
92,1.5447151731124313
93,3.6795602936207827
94,2.138813389935869
95,1.5292708578713063
96,3.5820702239543616
97,3.6551416171678
98,3.7401959858405904
99,1.3699806770505616
100,3.541739810993839
101,1.3506803874481161
102,2.098538994159025
103,3.709301699740572
104,3.7360557947567448
105,3.545870075928892
106,3.555064772970684
107,3.745475256492119
108,1.8029805249773174
109,3.4384146725832534
110,2.3121432209006705
111,3.5002307798254337
112,3.508830789030085
113,3.7093882955436714
114,3.4026435899180143
115,3.711613364861214
116,2.1704462267059914
117,3.688106280081874
118,3.8698525895738194
119,3.6738430495370493
120,2.0431991147024258
121,3.644521554378112
122,3.6100193156643745
123,1.355627927774455e-05
124,3.3360691765629356
125,3.6171310849396305
126,3.3867044118874547
127,2.7664899246918013
128,3.7188661974002097
129,0.6918688010953808
130,2.784426159584689
131,3.4468558428322806
132,1.8394134653465908
133,3.541838410310688
134,3.3604648959081804
135,3.672205120625793
136,3.7322438276760637
137,3.7348232461015236
138,3.8671768879379513
139,3.8268029235362735
140,3.703716426952485
141,3.124886401632226
142,3.608684398884564
143,2.6785735487213818
144,3.5805826932231586
145,3.6902436260213283
146,2.3769080869665045
147,3.474212578549004
148,3.363468844703825
149,3.463293672596827
150,3.7796287131748705
151,3.5188689212975417
152,1.7347787389077622
153,3.521308883073482
154,1.8656771464165167
155,3.736091779547088
156,3.7283618123719973
157,3.0284785806561554
158,3.6377166994711967
159,2.8634693168912144
160,3.685612552021818
161,2.4861906823542315
162,2.4466856304964173
163,0.6099536613510136
164,2.9446357802843277
165,3.7742062222651165
166,2.602968473864441
167,3.35987955723954
168,3.793950133864653
169,1.8981462081045501
170,3.2704688213761774
171,3.7050081763916705
172,3.155873871019613
173,3.8598062276417666
174,3.5979721965728166
175,3.174171591954387
176,3.2973178445787887
177,-0.00027610532420982247
178,3.6523132163467156
179,3.5006481695694154
180,3.595335252202834
181,2.2924056120978076
182,3.7483083827454546
183,3.8431489344711323
184,3.4045092246461026
185,3.3944460999199837
186,3.726984353026101
187,3.6413248965670557
188,3.6854451163741104
189,3.312154225105557
190,2.734177152524072
191,3.6411952507092398
192,3.8268718908105006
193,3.7689533951357825
194,3.7116814240363616
195,2.294842891040435
196,3.5633878969161503
197,2.922910975609468
198,2.351330136037108
199,3.5282283937778125
