TestDataID,Rating
1,4.48395
2,4.09923
3,4.21243
4,2.15214
5,3.16619
6,3.4224
7,4.1594
8,3.0778
9,3.16409
10,2.50446
11,4.29822
12,3.54369
13,3.27664
14,3.3725
15,3.34908
16,3.42792
17,3.93031
18,3.7574
19,3.68329
20,3.28548
21,3.15865
22,3.78813
23,4.22779
24,3.02682
25,3.54521
26,2.8567
27,3.65788
28,3.19291
29,2.5115
30,2.94904
31,2.98909
32,2.35022
33,3.19296
34,3.10658
35,4.08059
36,3.94424
37,3.90162
38,2.82187
39,3.88018
40,1.98088
41,2.93125
42,3.84442
43,2.31709
44,4.40726
45,3.37459
46,3.35563
47,3.27135
48,3.92865
49,3.49598
50,3.73626
51,4.02088
52,3.25706
53,4.4445
54,4.76507
55,4.18289
56,3.56838
57,4.30928
58,2.61562
59,3.79417
60,4.04789
61,3.55291
62,4.29602
63,4.17917
64,4.46272
65,4.62055
66,3.63586
67,4.07733
68,3.88234
69,3.42086
70,4.13124
71,3.39967
72,4.18997
73,3.08699
74,4.09563
75,2.87539
76,2.95349
77,4.31688
78,4.10347
79,4.33062
80,4.33325
81,4.02926
82,4.06001
83,4.60111
84,4.49787
85,4.67268
86,3.99216
87,4.91782
88,3.99343
89,4.73675
90,4.01153
91,3.83004
92,3.97452
93,4.58829
94,4.44936
95,4.46321
96,4.42554
97,4.4146
98,4.3723
99,4.3382
100,4.65576
101,3.72977
102,4.05532
103,4.90586
104,3.9089
105,3.27334
106,4.29447
107,4.04368
108,4.3978
109,3.30452
110,4.2084
111,4.77835
112,4.35652
113,4.82129
114,3.41182
115,3.91072
116,1.96139
117,3.97842
118,3.34749
119,2.88599
120,2.18485
121,1.58216
122,2.91457
123,4.02569
124,2.6969
125,2.69131
126,4.62336
127,4.16649
128,4.06142
129,2.86506
130,2.37299
131,3.48562
132,4.03834
133,3.69196
134,4.23884
135,2.07004
136,3.60277
137,3.7108
138,3.85492
139,4.04429
140,3.19983
141,2.864
142,3.89118
143,3.79962
144,3.58856
145,3.5411
146,3.01407
147,3.62673
148,4.11832
149,3.60166
150,3.08917
151,3.49307
152,3.49797
153,3.50317
154,2.12321
155,3.16112
156,3.114
157,4.07733
158,4.07947
159,2.71965
160,4.06732
161,3.34095
162,3.26959
163,3.17244
164,2.36941
165,2.75559
166,3.36028
167,3.80062
168,3.92927
169,3.3276
170,4.69554
171,3.81766
172,4.68084
173,3.54192
174,4.35436
175,4.50501
176,4.49271
177,4.69907
178,4.78859
179,4.84001
180,2.93205
181,4.44668
182,4.51434
183,4.07324
184,3.58388
185,4.42471
186,4.11738
187,4.1719
188,3.55934
189,4.58228
190,4.43498
191,3.64439
192,4.118
193,2.63562
194,4.56389
195,4.80518
196,3.03255
197,4.14347
198,4.28579
199,2.67126
200,4.06318
201,4.56189
202,4.55168
203,1.68376
204,3.99246
205,1.4839
206,3.3341
207,4.33765
208,4.6096
209,3.12604
210,4.55815
211,3.9437
212,4.03377
213,4.54792
214,1.86257
215,3.99808
216,1.90091
217,5.00686
218,4.0964
219,4.14957
220,1.99242
221,4.36923
222,4.24186
223,4.44587
224,4.29662
225,3.07583
226,3.83286
227,1.39218
228,2.67938
229,1.94027
230,4.53139
231,3.95695
232,2.68056
233,4.22376
234,4.1274
235,3.23739
236,4.44637
237,4.2329
238,3.63666
239,3.52767
240,3.76874
241,3.78084
242,3.10166
243,3.45202
244,4.54296
245,4.23311
246,4.23988
247,3.79253
248,3.17082
249,3.70731
250,3.66426
251,3.28647
252,4.52224
253,3.13577
254,3.40995
255,3.5192
256,3.42797
257,3.05058
258,2.95854
259,3.15369
260,2.98958
261,2.98182
262,3.15109
263,2.42067
264,3.69262
265,1.8497
266,3.18658
267,3.7506
268,3.21461
269,4.07958
270,4.26972
271,2.93342
272,3.51807
273,2.72831
274,2.51448
275,3.98292
276,2.45723
277,2.64654
278,3.87762
279,3.47617
280,3.92071
281,3.67452
282,4.21608
283,3.792
284,3.46073
285,3.36928
286,3.22966
287,2.93808
288,3.53306
289,3.13209
290,3.30858
291,2.85784
292,3.24171
293,3.32234
294,3.37097
295,3.06341
296,3.67522
297,3.16204
298,4.05499
299,3.97428
300,2.98715
301,3.67361
302,3.88275
303,3.73629
304,3.53837
305,3.6865
306,4.01216
307,3.43083
308,3.68687
309,3.46787
310,3.93436
311,3.59125
312,3.95457
313,3.16852
314,3.18442
315,3.16613
316,4.09392
317,2.85156
318,4.38982
319,2.85135
320,4.5293
321,4.01982
322,4.14949
323,3.55926
324,3.79951
325,4.65467
326,4.05587
327,3.39101
328,3.52927
329,2.72678
330,3.24911
331,2.82621
332,3.41532
333,3.45717
334,4.43064
335,3.40294
336,2.70159
337,1.76402
338,2.93121
339,3.20448
340,3.07452
341,2.96731
342,1.58383
343,3.39883
344,3.45608
345,2.5049
346,2.77883
347,2.1813
348,3.4923
349,3.55493
350,2.71539
351,2.18637
352,3.54293
353,2.46466
354,3.11157
355,2.98941
356,3.64756
357,2.57781
358,2.10661
359,3.84606
360,3.15239
361,3.07099
362,3.5604
363,2.51381
364,1.9056
365,2.94087
366,2.94709
367,3.17411
368,3.05792
369,4.74495
370,4.38876
371,4.50134
372,4.60161
373,4.10181
374,3.56126
375,4.15372
376,4.07411
377,4.25883
378,4.22763
379,3.96376
380,3.3229
381,4.33834
382,3.13205
383,4.40726
384,2.575
385,4.22439
386,3.44663
387,4.16254
388,3.39023
389,4.22108
390,3.98716
391,3.91372
392,3.0036
393,3.78835
394,3.77774
395,4.44856
396,3.1548
397,3.58079
398,3.13783
399,3.94845
400,3.70657
401,3.53356
402,3.45858
403,3.58568
404,3.55829
405,3.69866
406,3.52863
407,4.10395
408,4.23122
409,3.41123
410,4.06243
411,3.69635
412,4.30405
413,4.23177
414,3.66293
415,3.69525
416,3.33052
417,3.61148
418,3.80972
419,3.7553
420,1.57752
421,3.35716
422,3.83346
423,3.5701
424,3.69328
425,4.20969
426,3.3008
427,4.2618
428,3.93259
429,4.11479
430,3.5238
431,3.51153
432,3.19523
433,2.93855
434,3.25321
435,3.23288
436,2.6583
437,3.60635
438,4.06426
439,3.30377
440,3.37748
441,3.98525
442,3.55209
443,3.81449
444,3.29666
445,2.7311
446,3.25967
447,4.03668
448,3.52986
449,3.59166
450,3.8575
451,3.42187
452,3.42002
453,3.46322
454,3.88899
455,3.42167
456,3.04886
457,3.43413
458,3.34136
459,3.55425
460,3.64577
461,3.37461
462,3.91758
463,3.99161
464,3.57381
465,4.08427
466,4.34077
467,2.76363
468,3.73528
469,3.38235
470,3.89676
471,3.6289
472,3.41636
